score,total_seconds,num_ghosts,option1,option2,option3,option4
7,5.745892,4,34,42,38,40
28,49.634686,4,285,272,377,393
24,30.798858,4,321,313,282,273
8,9.389054,4,110,104,45,45,
9,4.503314,4,38,41,24,40
16,28.966913,4,396,372,135,141
6,6.752881,4,56,52,53,51
12,10.033593,4,98,103,75,67
6,2.043725,4,21,13,18,9
6,7.169122,4,47,51,71,69
15,15.646393,4,187,183,128,128,
10,8.486726,4,74,78,77,71
8,2.787852,4,25,38,14,14,
21,18.436737,4,166,144,144,152
11,12.268496,4,162,158,102,115
8,6.881528,4,67,67,51,51,
7,3.453582,4,30,36,21,13
9,4.874772,4,25,30,37,53
20,12.763014,4,93,108,113,113,
15,11.621894,4,122,126,99,97
19,17.142271,4,127,135,176,176,
10,9.712063,4,83,82,98,98,
13,9.994841,4,78,94,74,74,
8,5.494517,4,25,29,66,61
14,12.948461,4,106,132,124,116
8,5.423718,4,44,36,47,49
12,9.564964,4,97,118,55,63
11,13.991542,4,123,127,100,94
7,7.022932,4,62,66,50,49
13,20.702527,4,109,101,232,223
14,14.051831,4,166,170,66,66,
11,12.888815,4,67,83,143,133
9,10.055082,4,73,69,104,98
6,3.078395,4,20,10,37,29
9,3.876414,4,18,34,27,32
9,13.333053,4,99,107,114,114,
5,4.076554,4,36,32,33,27
13,10.132261,4,56,52,85,100
7,3.638074,4,24,40,24,24,
10,7.37623,4,60,68,58,61
9,3.949688,4,21,17,33,46
11,12.477374,4,105,112,131,131,
11,12.039733,4,148,141,64,64,
11,22.516415,4,225,207,146,154
18,26.020542,4,114,89,317,325
9,8.284901,4,85,101,57,57,
8,4.88923,4,34,43,41,41,
9,9.802386,4,58,62,109,108
31,36.819923,4,306,285,335,315
6,1.33309,4,2,15,14,6
9,4.450764,4,50,35,34,26
10,5.832827,4,69,83,28,20
9,3.432869,4,11,7,28,42
19,14.220006,4,146,122,94,101
6,7.872851,4,77,81,41,41,
6,4.073635,4,50,63,6,6,
5,2.105467,4,20,16,18,11
9,7.810157,4,76,92,60,53
7,5.130156,4,64,56,23,23,
10,8.071428,4,70,86,59,56
17,14.262713,4,134,147,100,80
10,4.119581,4,35,48,27,27,
8,5.629185,4,76,72,29,23
10,6.159328,4,41,49,49,50
7,6.351194,4,75,74,26,26,
17,25.597835,4,253,237,202,205
9,6.380878,4,60,56,35,51
10,14.435495,4,135,119,103,105
11,9.472532,4,106,121,93,85
8,4.485049,4,22,30,61,46
28,22.774896,4,228,236,185,162
6,8.155554,4,137,139,16,16,
8,4.030022,4,66,53,11,11,
